name,address,year
"Chao, Tracy","Univ Alberta, Arts Resource Ctr, Edmonton, AB, Canada",2005
"Yan, D","McMaster Univ, Fac Med, Hamilton, ON L8S 4L8, Canada",2005
"Yang, GZ","St Marys Hosp, Chancellors Teaching Ctr, Imperial Coll London, Dept Surg Oncol & Technol, London W2 1NY, England",2005
"Yang, GZ","Univ Warwick, Warwick, England",2005
"Lang, F","E Tennessee State Univ, Dept Family Med, Johnson City, TN 37614 USA",2005
"Chao, Chia-An","Indiana State Univ, Sch Business, Terre Haute, IN 47809 USA",2005
"He, Q","Univ Durham, CEM Ctr, Durham DH1 3UZ, England",2005
"Cheng, YW","Murdoch Univ, Sch Informat Technol, Murdoch, WA 6150, Australia",2005
"Cheng, YW","Curtin Univ Technol, Dept Math & Stat, Perth, WA 6845, Australia",2005
"Zhang, L","Mississippi Dept Hlth, Off Sci & Evaluat, Jackson, MS 39215 USA",2005
"Zhang, L","Univ Mississippi, Med Ctr, Dept Prevent Med, Jackson, MS 39216 USA",2005
"Weng, HY","Univ Calif Davis, UC Ctr Anim Alternat, Sch Vet Med, Davis, CA 95616 USA",2005
"Weng, HY","Univ Calif Davis, Dept Populat Hlth & Reprod, Davis, CA 95616 USA",2005
"Weng, HY","Univ Calif Davis, Grad Grp Epidemiol, Davis, CA 95616 USA",2005
"Chen, BM","Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore",2005
"Chen, JP","Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore",2005
"Zhang, J","Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore",2005
"Tan, KC","Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore",2005
"Shen, LN","Cornell Univ, MVR, Div Nutrit Sci, Ithaca, NY 14853 USA",2005
"Wang, Ting","Univ Canberra, Canberra, ACT, Australia",2005
"Zhang, Shujie","Univ Canberra, Canberra, ACT, Australia",2005
"Xu, WL","Massey Univ, Coll Sci, Inst Technol & Engn, Palmerston North, New Zealand",2005
"Li, Jun","Univ Luton, Entrepreneurship, Dept Strategy & Human Resource Management, Luton Business Sch, Pk Sq, Luton LU1 3JU, Beds, England",2005
"Yan, Miu","Univ British Columbia, Sch Social Work & Family Studies, 2080 West Mall, Vancouver, BC V6T Z2, Canada",2005
"Chao, Tracy","Royal Rd Univ, E Learning Management, Victoria, BC V9B 5Y2, Canada",2005
"Cai, Jinfa","Univ Delaware, Dept Math Sci, Newark, DE 19716 USA",2005
"He, Yan","UCLA, Dept Stat, Los Angeles, CA 90095 USA",2005
"Long, JF","Penn State Univ, University Pk, PA 16802 USA",2005
"Long, JF","Ohio Dominican Univ, Columbus, OH 43219 USA",2005
"Long, JF","Univ Notre Dame, Notre Dame, IN 46556 USA",2005
"Tai, RH","Univ Virginia, Curry Sch Educ, Charlottesville, VA 22904 USA",2005
"Tai, RH","Harvard Smithsonian Ctr Astrophys, Sci Educ Dept, Philips Auditorium, Cambridge, MA USA",2005
"Qiu, Xuemei","Abo Akad Univ, Turku Ctr Comp Sci, Dept Comp Sci, Lemminkaisenkatu 14 A, FIN-20520 Turku, Finland",2005
"Liu, JM","Univ Missouri, Dept Mech & Aerosp Engn & Engn Mech, Rolla, MO 65409 USA",2005
"Hu, Jing","Hofstra Univ, Hempstead, NY 11550 USA",2005
"Ma, XG","Univ Maryland Baltimore Cty, Dept Informat Syst, Baltimore, MD 21250 USA",2005
"Zhou, MM","Katholieke Univ Leuven, Dept Psychol, B-3000 Louvain, Belgium",2005
"Chen, Louis","Univ Toronto, OISE, Teaching & Learning Dept, Curriculum, Toronto, ON, Canada",2005
"Wei, Yingqi","Univ Lancaster, Sch Management, Lancaster, England",2005
"Chen, Eva","Univ Calif Los Angeles, Natl Ctr Res Evaluat Stand & Student Testing CRES, 300 Charles E Young Dr North,GSE&IS Bldg 3rd Fl, Los Angeles, CA 90095 USA",2005
"Chang, YJ","Univ Calif San Francisco, Dept Pediat, San Francisco, CA 94143 USA",2005
"Chang, YJ","San Francisco Dept Publ Hlth, San Francisco, CA 94143 USA",2005
"Liao, CY","Univ S Carolina, Dept Chem Engn, Dept English, Writing Ctr, Columbia, SC 29208 USA",2005
"Liao, CY","Univ S Carolina, Off Program Evaluat, Coll Educ, Columbia, SC 29208 USA",2005
"Zhou, Shufeng","Natl Univ Singapore, Dept Pharm, Fac Sci, 18 Sci Dr 4, Singapore 117543, Singapore",2005
"Chang, JC","Univ Calif Los Angeles, Grad Sch Educ & Informat Studies, Div Higher Educ & Org Change, Los Angeles, CA 90095 USA",2005
"Chao, PC","SW Inst Families & Children Special Needs, Scottsdale, AZ 85250 USA",2005
"Chao, PC","Arizona State Univ, Div Curriculum & Instruct, Tempe, AZ USA",2005
"Chen, PH","Nanyang Technol Univ, Sch Civil & Environm Engn, Singapore 639798, Singapore",2005
"Tang, BL","Natl Univ Singapore, Dept Biochem, Singapore 117597, Singapore",2005
"Gan, YH","Natl Univ Singapore, Dept Biochem, Singapore 117597, Singapore",2005
"Fang, Xiang","Miami Univ, Oxford, OH 45056 USA",2005
"Dong, ZY","Univ Queensland, Sch Informat Technol & Elect Engn, St Lucia, Qld 4072, Australia",2005
"Ji, Peter","De Paul Univ, Ctr Community Res, Chicago, IL 60614 USA",2005
"Huang, Jiunn","San Francisco State Univ, San Francisco, CA 94132 USA",2005
"Tang, TS","Univ Michigan, Ctr Hlth, Dept Internal Med, Div Allergy Immunol, Detroit, MI 48201 USA",2005
"Duan, LP","Univ Michigan, Ctr Hlth, Dept Internal Med, Div Allergy Immunol, Detroit, MI 48201 USA",2005
"Tang, TS","Univ Michigan, Dept Med Educ, Detroit, MI 48201 USA",2005
"Duan, LP","Univ Michigan, Dept Med Educ, Detroit, MI 48201 USA",2005
"Ha, Sang-Jin","Inst Educ, London, England",2005
"Teng, FYH","Natl Univ Singapore, Dept Biochem, Singapore 117597, Singapore",2005
"Chen, WF","Penn State Univ, Dept Informat Sci & Technol, University Pk, PA 16802 USA",2005
"Wang, YY","Iowa State Univ, Dept Residence, Ames, IA 50012 USA",2005
"Wang, YY","Iowa State Univ, Thielen Student Hlth Serv, Ames, IA 50012 USA",2005
"Wang, YY","Iowa State Univ, Res Inst Studies Educ, Ames, IA 50012 USA",2005
