name,address,year,country
"An, Jiwoo","Iowa State Univ, Dept Chem, Ames, IA 50011 USA",2020,United States
"An, Jiwoo","Iowa State Univ, Dept Chem, Ames, IA 50011 USA",2021,United States
"An, Jiwoo","Iowa State Univ, Dept Chem, Ames, IA 50011 USA",2022,United States
"An, Jiwoo","Texas State Univ, Dept Chem & Biochem, San Marcos, TX 78666 USA",2022,United States
"An, Lawrence C.","Univ Michigan, Ctr Hlth Commun Res, Ann Arbor, MI 48109 USA",2009,United States
"An, Lawrence C.","Univ Minnesota, Dept Med, Ctr Hlth Equ, Minneapolis, MN 55455 USA",2013,United States
"An, Song","Univ Texas ElPaso, Dept Teacher Educ, El Paso, TX USA",2024,United States
"An, Song","Univ Texas Paso, El Paso, TX 79968 USA",2024,United States
"An, Song A.","Texas A&M Univ, College Stn, TX 77843 USA",2011,United States
"An, Song A.","Univ Texas El Paso, Coll Educ, EDUC 807,500 West Univ Ave, El Paso, TX 79968 USA",2017,United States
"An, Song A.","Univ Texas El Paso, Educ Bldg 601,500 W Univ Ave, El Paso, TX 79968 USA",2017,United States
"An, Song A.","Univ Texas El Paso, Dept Teacher Educ, 500 W Univ Way,EDUC 601D, El Paso, TX 79968 USA",2022,United States
"An, Soonok","Univ Illinois, Champaign, IL USA",2023,United States
"An, Soonok","North Carolina A&T State Univ, Dept Social Work & Sociol, Greensboro, NC USA",2024,United States
"An, Vinna","Box Hill Hosp, Dept Colorectal Surg, Box Hill, Vic, Australia",2022,Australia
"An, Vinna","Monash Univ, Eastern Hlth Clin Sch, Melbourne, Vic, Australia",2022,Australia
"Bai, Y","Texas Tech Univ, Dept Engn Technol, Lubbock, TX 79409 USA",2004,United States
"Bai, Y","Univ Kansas, Dept Civil Environm & Architectural Engn, Lawrence, KS 66045 USA",2004,United States
"Ban, Nobutaro","Nagoya Univ Hosp, Dept Gen Med, Nagoya, Aichi, Japan",2009,Japan
"Ban, Nobutaro","Nagoya Univ, Sch Med, Nagoya, Aichi 4648601, Japan",2011,Japan
"Ban, Nobutaro","Nagoya Univ, Grad Sch Med, Dept Gen Med Family & Community Med, Nagoya, Aichi, Japan",2017,Japan
"Ban, Nobutaro","Aichi Med Univ, Med Educ Ctr, 1-1 Yazakokarimata, Nagakute, Aichi 4801195, Japan",2018,Japan
"Ban, Nobutaro","Nagoya Univ, Grad Sch Med, Dept Gen Med Family & Community Med, Showa Ku, 65 Tsurumai Cho, Nagoya, Aichi 4668550, Japan",2018,Japan
"Ban, Nobutaro","Aichi Med Univ, Med Educ Ctr, Sch Med, Nagakute, Aichi, Japan",2021,Japan
"Bao, L","Ohio State Univ, Dept Phys, Columbus, OH 43210 USA",2002,United States
"Bao, L","Univ Maryland, Dept Phys, College Pk, MD 20742 USA",2002,United States
"Bi, Xiaoyu","VA Palo Alto Hlth Care Syst, Ctr Innovat Implementat, Menlo Pk, CA USA",2016,United States
"Bi, Xiaoyu","Amer Acad Ophthalmol, San Francisco, CA USA",2017,United States
"Bian, Hui","Univ Florida, Dept Hlth Edu & Behav, Gainesville, FL 32611 USA",2007,United States
"Bian, Hui","E Carolina Univ, Off Fac Excellence, Greenville, NC USA",2012,United States
"Bian, Hui","E Carolina Univ, Off Fac Excellence, Greenville, NC 27858 USA",2013,United States
"Bian, Hui","East Carolina Univ, Off Fac Excellence, Greenville, NC 27858 USA",2017,United States
"CHEN, J","CALIF POLYTECH STATE UNIV SAN LUIS OBISPO, SAN LUIS OBISPO, CA 93407 USA",1993,United States
"CHEN, J","CLARKE COLL, DUBUQUE, IA 52001 USA",1993,United States
"CHEN, J","DAYTONA BEACH COMMUNITY COLL, DAYTONA BEACH, FL 32120 USA",1993,United States
"CHEN, J","GEORGE MASON UNIV, FAIRFAX, VA 22030 USA",1993,United States
"CHEN, J","GOSHEN COLL, GOSHEN, IN 46526 USA",1993,United States
"CHEN, J","HAMPTON UNIV, HAMPTON, VA 23668 USA",1993,United States
"CHEN, J","ILLINOIS STATE UNIV, NORMAL, IL 61761 USA",1993,United States
"CHEN, J","ITHACA COLL, ITHACA, NY 14850 USA",1993,United States
"CHEN, J","LAWRENCE TECHNOL UNIV, SOUTHFIELD, MI 48075 USA",1993,United States
"CHEN, J","LOUISIANA STATE UNIV, BATON ROUGE, LA 70803 USA",1993,United States
"CHEN, J","NEBRASKA WESLEYAN UNIV, LINCOLN, NE 68504 USA",1993,United States
"CHEN, J","OAKLAND COMMUNITY COLL, FARMINGTON HILLS, MI 48018 USA",1993,United States
"CHEN, J","SPELLMAN COLL, ATLANTA, GA 30314 USA",1993,United States
"CHEN, J","ST JOHN FISHER COLL, ROCHESTER, NY 14618 USA",1993,United States
"CHEN, J","STOCKTON STATE COLL, POMONA, NJ 08240 USA",1993,United States
"CHEN, J","SUNY COLL POTSDAM, POTSDAM, NY 13676 USA",1993,United States
"CHEN, J","UNIV ARKANSAS, FAYETTEVILLE, AR 72701 USA",1993,United States
"CHEN, J","UNIV CALIF BERKELEY, BERKELEY, CA 94720 USA",1993,United States
"CHEN, J","UNIV LOUISVILLE, LOUISVILLE, KY 40292 USA",1993,United States
"CHEN, J","UNIV PUERTO RICO, MAYAGUEZ, PR 00708 USA",1993,United States
"CHEN, J","UNIV S FLORIDA, TAMPA, FL 33620 USA",1993,United States
"CHEN, J","VIRGINIA TECH, BLACKSBURG, VA 24061 USA",1993,United States
"CHEN, J","WESTERN CAROLINA UNIV, CULLOWHEE, NC 28723 USA",1993,United States
"CHEN, J","WESTERN MICHIGAN UNIV, KALAMAZOO, MI 49008 USA",1993,United States
"CHEN, J","WILKES UNIV, WILKES BARRE, PA 18766 USA",1993,United States
"Cai, Li","Univ Calif Los Angeles, Los Angeles, CA 90095 USA",2014,United States
"Cai, Li","Univ Calif Los Angeles, Natl Ctr Res Evaluat Stand & Student Testing CRES, Los Angeles, CA 90024 USA",2020,United States
"Cai, Li","UCLA Grad Sch Educ, Adv Quantitat Methodol Program & Informat Studies, Educ & Psychol, 405 Hilgard Ave, Los Angeles, CA 90095 USA",2024,United States
"Cai, Qijie","Minnesota State Univ, Dept Educ Studies K12 & Secondary Programs, Mankato, MN 56001 USA",2019,United States
