year,country,article_count
1991,United States,1
2000,United States,29
2000,Singapore,4
2000,Canada,2
2000,Australia,1
2000,Israel,1
2000,United Kingdom,1
2010,United States,159
2010,United Kingdom,18
2010,Australia,14
2010,Canada,14
2010,Singapore,10
2010,South Korea,6
2010,Malaysia,5
2010,China,3
2010,Belgium,1
2010,Finland,1
2010,India,1
2010,Indonesia,1
2010,Ireland,1
2010,Israel,1
2010,Italy,1
2010,Netherlands,1
2010,New Zealand,1
2010,Thailand,1
2010,United Arab Emirates,1
2020,United States,527
2020,Australia,78
2020,Canada,74
2020,China,37
2020,South Korea,36
2020,United Kingdom,36
2020,Singapore,32
2020,Malaysia,21
2020,New Zealand,20
2020,Japan,10
2020,Vietnam,9
2020,Netherlands,8
2020,Belgium,7
2020,Germany,6
2020,Philippines,5
2020,India,4
2020,Denmark,3
2020,Norway,3
2020,Turkey,3
2020,Brunei,2
2020,Sweden,2
2020,Thailand,2
2020,France,1
2020,Ghana,1
2020,Israel,1
2020,Mongolia,1
2020,Spain,1
2020,United Arab Emirates,1
2024,United States,995
2024,Australia,152
2024,United Kingdom,140
2024,Canada,101
2024,China,92
2024,Malaysia,89
2024,Singapore,65
2024,South Korea,60
2024,Japan,52
2024,New Zealand,45
2024,Thailand,37
2024,Vietnam,36
2024,Finland,14
2024,Netherlands,13
2024,Germany,10
2024,Denmark,8
2024,Spain,8
2024,Ireland,6
2024,Russia,6
2024,Sweden,6
2024,Turkey,6
2024,Cambodia,5
2024,Norway,5
2024,South Africa,5
2024,Belgium,4
2024,India,4
2024,Philippines,4
2024,Italy,3
2024,United Arab Emirates,3
2024,Brazil,2
2024,Czech Republic,2
2024,France,2
2024,Mexico,2
2024,Switzerland,2
2024,Ukraine,2
2024,Brunei,1
2024,Chile,1
2024,Hungary,1
2024,Indonesia,1
2024,Myanmar,1
2024,Panama,1
2024,Portugal,1
2024,Slovenia,1
