name,country,year
"Ban, N",Japan,2006
"Ban, N",United States,2006
"Bao, Lei",United States,2008
"Bao, Lei",United States,2009
"Bao, Lei",China,2015
"Bao, Lei",United States,2015
"Bao, Lei",United States,2016
"Bao, Lei",United States,2017
"Bao, Lei",United States,2019
"Bao, Lei",United States,2020
"Bao, Lei",United States,2021
"Bao, Lei",United States,2022
"Bao, Lei",United States,2023
"Bao, Lei",United States,2024
"CHEN, J",Pr 00708 Usa,1993
"CHEN, J",United States,1993
"CHEN, M",Israel,1995
"CHEN, M",United States,1995
"Cao, Chen",United States,2009
"Cao, Chen",China,2023
"Cao, Jun",United States,2016
"Cao, Jun",China,2020
"Chai, Ching-Sing",Singapore,2009
"Chai, Ching-Sing",Singapore,2012
"Chai, Ching-Sing",China,2023
"Chang, D",Israel,1998
"Chang, D",United Kingdom,1998
"Chang, D",United States,1998
"Chang, Daniel",United States,2017
"Chang, Daniel",Canada,2021
"Chang, Jina",Australia,2022
"Chang, Jina",South Korea,2022
"Chang, Yu-Hui",China,2014
"Chang, Yu-Hui",United States,2017
"Chang, Yu-Hui",United States,2018
"Chang, Yu-Hui",United States,2020
"Che, ShaoPeng",South Korea,2022
"Che, ShaoPeng",China,2023
"Chen, Anna",Canada,2023
"Chen, Anna",United States,2024
"Chen, Bo",United States,2013
"Chen, Bo",China,2021
"Chen, Chen",United States,2019
"Chen, Chen",Netherlands,2020
"Chen, Chen",United States,2020
"Chen, Chen",Netherlands,2021
"Chen, Chen",United States,2021
"Chen, Chen",United States,2022
"Chen, Chen",China,2023
"Chen, Chen",United States,2024
"Chen, David",Israel,2010
"Chen, David",Australia,2019
"Chen, Fu",Canada,2020
"Chen, Fu",China,2024
"Chen, George",Australia,2018
"Chen, George",Australia,2021
"Chen, George",United States,2021
"Chen, Honglin",Australia,2012
"Chen, Honglin",Australia,2016
"Chen, Honglin",Australia,2017
"Chen, Honglin",Australia,2021
"Chen, Honglin",Australia,2024
"Chen, Honglin",China,2024
"Chen, Honglin",Finland,2024
"Chen, Hui",United States,2014
"Chen, Hui",Australia,2016
"Chen, Hui",Australia,2020
"Chen, Hui",Australia,2022
"Chen, Jie",China,2017
"Chen, Jie",China,2020
"Chen, Jie",United States,2021
"Chen, Jie",United States,2023
"Chen, Jie",United States,2024
"Chen, Jin",United States,2017
"Chen, Jin",China,2024
"Chen, Jing",United States,2006
"Chen, Jing",China,2022
"Chen, Jing",United States,2023
"Chen, Jing",China,2024
"Chen, Katherine",China,2017
"Chen, Katherine",United States,2020
"Chen, Li",United States,2009
"Chen, Li",China,2015
"Chen, Li",United States,2015
"Chen, Li",China,2017
"Chen, Li",United States,2017
"Chen, Li",China,2019
"Chen, Li",Germany,2023
"Chen, Li",Japan,2023
"Chen, Liang",United States,2022
"Chen, Liang",Canada,2023
"Chen, Lihua",Australia,2021
"Chen, Lihua",China,2023
"Chen, Lin",China,2023
"Chen, Lin",China,2024
"Chen, Lin",Malaysia,2024
"Chen, Lin",New Zealand,2024
"Chen, Mary XiaoRong",Singapore,2024
"Chen, Mary XiaoRong",United Kingdom,2024
"Chen, Ning",China,2021
"Chen, Ning",Finland,2021
"Chen, Ning",Finland,2024
"Chen, Qin",United States,2010
"Chen, Qin",Australia,2023
"Chen, Sarah",United States,2021
"Chen, Sarah",Ireland,2023
"Chen, Susan",Australia,2022
"Chen, Susan",United States,2024
"Chen, TY",Australia,2004
"Chen, TY",China,2004
"Chen, Teresa",United States,2018
"Chen, Teresa",United States,2019
"Chen, Teresa",Canada,2021
"Chen, Victoria",Canada,2014
"Chen, Victoria",Canada,2015
"Chen, Victoria",United States,2015
"Chen, Victoria",Canada,2017
"Chen, Victoria",United States,2019
"Chen, Wei",United Kingdom,2010
"Chen, Wei",United States,2017
"Chen, Wei",United States,2018
"Chen, Wei",United Arab Emirates,2020
"Chen, Wei",United Arab Emirates,2021
"Chen, Wei",United States,2024
"Chen, Xi",Canada,2012
"Chen, Xi",United States,2014
"Chen, Xi",United States,2018
"Chen, Xi",China,2023
"Chen, Yan",China,2010
"Chen, Yan",New Zealand,2015
"Chen, Yan",New Zealand,2017
"Chen, Yan",United States,2019
"Chen, Yan",New Zealand,2020
"Chen, Yan",New Zealand,2021
"Chen, Yan",New Zealand,2022
"Chen, Yan",United States,2022
"Chen, Yan",New Zealand,2023
"Chen, Yan",United States,2024
"Chen, Yi",United States,2014
"Chen, Yi",China,2022
"Chen, Yong",United States,2013
"Chen, Yong",United States,2014
"Chen, Yong",Switzerland,2019
"Chen, Yong",United States,2023
"Chen, Yu",China,2020
"Chen, Yu",United States,2020
"Chen, Yu",United States,2021
"Chen, Yu",United States,2022
"Chen, Yu",China,2023
"Chen, Yu",United States,2024
"Cheng, Jiaming",China,2023
"Cheng, Jiaming",United States,2023
"Cheng, Zui",United States,2018
"Cheng, Zui",United States,2019
"Cheng, Zui",United States,2020
"Cheng, Zui",China,2022
"Cheng, Zui",United States,2022
"Cheng, Zui",China,2023
"Chi, MTH",Israel,2000
"Chi, MTH",United States,2000
"Chi, Michelene T. H.",South Korea,2007
"Chi, Michelene T. H.",United States,2007
"Chi, Michelene T. H.",United States,2012
"Chi, Michelene T. H.",United States,2013
"Chi, Michelene T. H.",United States,2017
"Chi, Michelene T. H.",United States,2018
"Chi, Michelene T. H.",United States,2021
"Chong, Kyle L.",South Korea,2024
"Chong, Kyle L.",United States,2024
"Chu, Hye-Eun",Australia,2008
"Chu, Hye-Eun",United States,2011
"Chu, Hye-Eun",Australia,2020
"Chu, Yoosun",United States,2018
"Chu, Yoosun",South Korea,2021
"Cui, Dan",Canada,2011
"Cui, Dan",Canada,2017
"Cui, Dan",United States,2017
"Dai, David Wei",Australia,2023
"Dai, David Wei",Australia,2024
"Dai, David Wei",United Kingdom,2024
"Dai, David Yun",United States,2007
"Dai, David Yun",United States,2011
"Dai, David Yun",China,2013
"Dai, David Yun",United States,2013
"Dai, David Yun",China,2015
"Dai, David Yun",United States,2015
"Dai, David Yun",United States,2020
"Dai, Kun",Australia,2020
"Dai, Kun",China,2021
"Dai, Kun",China,2023
"Dai, Kun",China,2024
"Dai, Yun",United States,2015
"Dai, Yun",United States,2019
"Dai, Yun",China,2023
"Deng, Feng",Singapore,2010
"Deng, Feng",Singapore,2011
"Deng, Feng",Singapore,2013
"Deng, Feng",China,2017
"Ding, Yi",United States,2014
"Ding, Yi",United States,2017
"Ding, Yi",United States,2018
"Ding, Yi",United States,2019
"Ding, Yi",United States,2021
"Ding, Yi",United States,2023
"Ding, Yi",China,2024
"Ding, Yi",United States,2024
"Dong, Chaoyan",United States,2013
"Dong, Chaoyan",Singapore,2015
"Dong, Chaoyan",Singapore,2023
"Dong, Chaoyan",Singapore,2024
"Dong, Yanning",Canada,2015
"Dong, Yanning",China,2018
"Dong, Yanning",Canada,2021
"Er, Erkan",United States,2015
"Er, Erkan",United States,2018
"Er, Erkan",Spain,2021
"Er, Erkan",Turkey,2024
"Fan, Lianghuo",Singapore,2007
"Fan, Lianghuo",United Kingdom,2013
"Fan, Lianghuo",United Kingdom,2014
"Fan, Xitao",United States,2008
"Fan, Xitao",United States,2009
"Fan, Xitao",United States,2011
"Fan, Xitao",China,2013
"Fan, Xitao",China,2015
"Fan, Xitao",China,2016
"Fan, Xitao",China,2017
"Fan, Xitao",China,2018
