Article_ID	WOS_ID	Year	Title	Authors	Addresses	Affiliations
630	WOS:000212627400003	2005	A Qualitative Study of Chinese Police Officers' In-service Training	Wang, T; Zhang, SJ	[Wang, Ting; Zhang, Shujie] Univ Canberra, Canberra, ACT, Australia	University of Canberra
1275	WOS:000230554800010	2005	Preparing the senior or graduating student for graduate research	Tang, BL; Gan, YH	Natl Univ Singapore, Dept Biochem, Singapore 117597, Singapore	National University of Singapore
1456	WOS:000229242100009	2005	Concepts of protein sorting or targeting signals and membrane topology in undergraduate teaching	Tang, BL; Teng, FYH	Natl Univ Singapore, Dept Biochem, Singapore 117597, Singapore	National University of Singapore
2809	WOS:000233799900005	2005	Internet-based resources sharing and leasing system for control engineering research and education	Tan, KK; Wang, KN; Tan, KC	Natl Univ Singapore, Dept Elect & Comp Engn, Singapore 117576, Singapore	National University of Singapore
4369	WOS:000211977500004	2006	Rasch Calibration of Perceived Weights of Different Sports Games	Kang, SJ; Kang, M	[Kang, Sang-Jo] Korea Natl Sport Univ, Dept Phys Educ, Seoul, South Korea; [Kang, Minsoo] Middle Tennessee State Univ, Dept Hlth & Human Performance, POB 96, Murfreesboro, TN 37132 USA	Korea National Sport University; Middle Tennessee State University
5229	WOS:000437579900003	2006	Securing Extramural Funding: Where Did the Hospitality and Tourism Educators Get Their Grants?	Hu, B; Wei, CI	[Hu, Bo] San Francisco State Univ, Dept Hospitality Management, Coll Business, San Francisco, CA 94132 USA; [Wei, Cheng-i] Univ Maryland, Coll Agr & Nat Resources, College Pk, MD 20742 USA; [Wei, Cheng-i] Univ Maryland, Maryland Agr Expt Stn & Maryland Cooperat Extens, College Pk, MD 20742 USA	California State University System; San Francisco State University; University System of Maryland; University of Maryland College Park; University System of Maryland; University of Maryland College Park
5324	WOS:000216224300001	2006	Challenges and opportunities facing Australian universities caused by the internationalisation of Chinese higher education	Wu, MX; Yu, P	[Wu, Mingxuan] Cent Queensland Univ, Fac Business & Informat, Rockhampton, Qld, Australia; [Yu, Ping] Univ Wollongong, Sch Informat Technol & Comp Sci, Wollongong, NSW, Australia	Central Queensland University; University of Wollongong
6132	WOS:000240517600013	2006	A new curriculum on planning and cooperative control of autonomous mobile robots	Qu, ZH; Wu, XH	Univ Cent Florida, Dept Elect & Comp Engn, Orlando, FL 32826 USA	State University System of Florida; University of Central Florida
6164	WOS:000238974000009	2006	Recency effect on problem solving in interactive multimedia learning	Zheng, R; Zhou, B	Temple Univ, Coll Educ, Dept Psychol Studies Educ, Philadelphia, PA 19122 USA; Temple Univ, Coll Educ, Dept CITE, Philadelphia, PA 19122 USA	Pennsylvania Commonwealth System of Higher Education (PCSHE); Temple University; Pennsylvania Commonwealth System of Higher Education (PCSHE); Temple University
6187	WOS:000218720100002	2006	Cultivating Multicultural Competence Through Active Participation: Extracurricular Activities and Multicultural Learning	Cheng, DX; Zhao, CM	[Cheng, David X.] Columbia Coll, New York, NY 10027 USA; [Cheng, David X.] Fu Fdn Sch Engn & Appl Sci, New York, NY 10027 USA; [Cheng, David X.] Columbia Univ, Teachers Coll, Dept Org & Leadership, New York, NY 10027 USA; [Zhao, Chun-Mei] Carnegie Fdn Adv Teaching, Stanford, CA 94305 USA	Columbia University; Columbia University Teachers College; Columbia University
