Article_ID	WOS_ID	Year	Title	Authors	Total_Authors
301	WOS:000230726500004	2005	A Tao of narrative: Dynamic splicing of teacher stories	Li, X	1
320	WOS:000213278100020	2005	Toward full participation in management consulting practice Experiences of recent college graduates	Chao, CA	1
1216	WOS:000217070400034	2005	Teaching of clinical pharmacogenetics for pharmacy students at the National University of Singapore	Zhou, SF	1
1239	WOS:000235624500002	2005	Faculty-student interaction at the community college: A focus on students of color	Chang, JC	1
1322	WOS:000233799900011	2005	Improving learning in undergraduate control engineering courses using context-based learning models	Dong, ZY	1
1459	WOS:000233264500012	2005	Effect of web-browsing interfaces in web-based instruction: A quantitative study	Chen, WF	1
1645	WOS:000238467900006	2005	Parent practices in facilitating self-determination skills: The influences of culture, socioeconomic status, and children's special education status	Zhang, DL	1
2138	WOS:000212674600007	2005	Evaluating the Learning Effectiveness of Using Web-Based Instruction: An Individual Differences Approach	Chen, SY	1
2505	WOS:000217974800006	2005	Examining Instructional Design and Development of a Web-Based Course: A Case Study	Su, B	1
2614	WOS:000229923800006	2005	Do measures of college quality matter? The effect of college quality on graduates' earnings	Zhang, L	1
3063	WOS:000219204500003	2005	Why Would a Professor Have You Read That Book: The Vagina Monologues as a Teaching Text?	Chen, LD	1
3079	WOS:000435034800006	2005	Students' Learning and Locus of Control in Web-Supplemental Instruction	Wang, DH	1
3104	WOS:000229242100014	2005	HINARI and AGORA: Providing access for researchers in developing countries	Long, M	1
3933	WOS:000211915300004	2006	E-Discussions as a Complement to Traditional Instruction: Did the Students Like Online Communication and Why?	Chang, N	1
4180	WOS:000409575500003	2006	FAILURE IN A COLLEGE ESL COURSE: PERSPECTIVES OF INSTRUCTORS AND STUDENTS	Song, BL	1
4200	WOS:000211798400007	2006	Creating thinking schools through 'Knowledge and Inquiry': the curriculum challenges for Singapore	Tan, C	1
4290	WOS:000216347800004	2006	Attracting East Asian Students to Canadian Graduate Schools	Chen, LH	1
4453	WOS:000210990300007	2006	Toddlers' emotional reactions to separation from their primary caregivers: successful home-school transition	Xu, YY	1
4534	WOS:000238537500013	2006	Proactive telephone counseling as an adjunct to minimal intervention for smoking cessation: a metal-analysis	Pan, W	1
4616	WOS:000239567300003	2006	Expansion of Chinese higher education since 1998: Its causes and outcomes	Wan, YM	1
4767	WOS:000236706600004	2006	A conceptual model of assessing teaching performance and intellectual development of teacher candidates: a pilot study in the US	Song, KH	1
4836	WOS:000210479200005	2006	Gendered practices of constructing an engineering identity in a problem-based learning environment	Du, XY	1
5113	WOS:000241954700020	2006	Relations of maternal style and child self-concept to autobiographical memories in Chinese, Chinese immigrant, and European American 3-year-olds	Wang, Q	1
5116	WOS:000212235500005	2006	What counts as 'scholarship'? Problematising education policy research in China	Yang, R	1
5456	WOS:000238411200009	2006	Value changes in an era of social transformations: college-educated Chinese youth	Wang, Y	1
5707	WOS:000215421600007	2006	An investigation of using the computer for reading and writing in the English classroom in secondary schools in the UK	Zou, B	1
5784	WOS:000211846000002	2006	A case study of academic staff integration in a post-merger Chinese university	Cai, YZ	1
5902	WOS:000241579100001	2006	Interaction and cognitive engagement: An analysis of four asynchronous online discussions	Zhu, EP	1
5940	WOS:000236752700003	2006	Internationalization of curricula in higher education institutions in comparative perspectives: Case studies of China, Japan and The Netherlands	Huang, FT	1
6201	WOS:000420281400003	2006	Keeping the Ball Rolling: A Curriculum Change in the College English Program at a Chinese Institution	Han, H	1
6397	WOS:000242104400006	2006	Researching and experiencing motivation: a plea for 'balanced research'	Li, N	1
6557	WOS:000213186400007	2006	Bounds for a trigonometric sum - a case study of undergraduate math research	Chen, HW	1
6582	WOS:000210172900009	2007	Community of Inquiry in an Online Undergraduate Information Technology Course	Ling, LH	1
6687	WOS:000247980100012	2007	(Mis-)education into American racism	Lin, LJ	1
7098	WOS:000251787400007	2007	The structured clinically relevant interview for psychiatrists in training (SCRIPT): A new standardized assessment tool for recruitment in the UK	Rao, R	1
7099	WOS:000435170300004	2007	Problem-based learning pedagogies: psychological processes and enhancement of intelligences	Tan, OS	1
7620	WOS:000243429600005	2007	Geography's place in higher education in Singapore	Kong, L	1
8126	WOS:000252661500003	2007	'A challenging but worthwhile learning experience'! Asian international student perspectives of undertaking a dissertation in the UK	Huang, R	1
8178	WOS:000212886600006	2007	Coping with linguistic challenges in UK higher education: the use of strategies by Chinese research students	Li, DG	1
8688	WOS:000249576400008	2007	Choosing Canadian graduate schools from afar: East Asian students' perspectives	Chen, LH	1
8889	WOS:000249259100001	2007	The ethics of instructional technology: issues and coping strategies experienced by professional technologists in design and training situations in higher education	Lin, H	1
8904	WOS:000246068300002	2007	Rhizoactivity: Toward a postmodern theory of lifelong learning	Kang, DJ	1
8990	WOS:000210689500006	2007	Teacher Misbehaviors as Learning Demotivators in College Classrooms: A Cross-Cultural Investigation in China, Germany, Japan, and the United States	Zhang, Q	1
9274	WOS:000250411500002	2007	What college students know about older adults: A cross-cultural qualitative study	Zhou, LY	1
9286	WOS:000244644500009	2007	Designing online courses that effectively engage learners from diverse cultural backgrounds	Wang, MJ	1
9340	WOS:000216230200036	2007	Variation in learning styles in a group of Chinese English as a foreign language learners	Wang, LH	1
9954	WOS:000436744300005	2007	Some Initiatives in a Business Forecasting Course	Chu, S	1
10224	WOS:000246161700004	2007	Evaluation of linking methods for multidimensional IRT calibrations	Min, KS	1
10273	WOS:000253770800003	2007	Incorporation and university governance: The Chinese experience, using university enrolment expansion policy as an example	Yang, R	1
10387	WOS:000409421700008	2007	CHRISTIAN HIGHER EDUCATION: A NEGLECTED SPECIES IN CHRISTIAN SEMINARIES AND DIVINITY SCHOOLS ACCREDITED BY THE AMERICAN THEOLOGICAL SCHOOLS (ATS)	Tan, CJ	1
10416	WOS:000445708400007	2007	Simulation-based L2 writing instruction: Enhancement through genre analysis	Cheng, A	1
10913	WOS:000257955500003	2008	'Where are the buses'? Role of geography fieldwork in a socially fragmented world	Ling, OG	1
11791	WOS:000256101700004	2008	Grade-level differences - Relations of parental, teacher and peer support to academic engagement and achievement among Hong Kong students	Chen, JJL	1
11971	WOS:000259058700009	2008	College quality and early adult outcomes	Long, MC	1
12703	WOS:000259638900003	2008	Gender disparity in STEM disciplines: A study of faculty attrition and turnover intentions	Xu, YJ	1
12711	WOS:000270805300002	2008	Qualitatively different ways of experiencing student self-assessment	Tan, KHK	1
12782	WOS:000415501900001	2008	Internationalization or International Marketing? Two Frameworks for Understanding International Students' Choice of Canadian Universities	Chen, LH	1
13336	WOS:000253874400001	2008	Teaching calcium-induced calcium release in cardiomyocytes using a classic paper by Fabiato	Liang, W	1
